what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1365452623183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1365452635264
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1365452638401
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1365452639577
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1365452639696
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1365452640406
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1365452641803
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1365452643986
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1365452644011
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1365452647061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452648778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452673007
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1365452691868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1365452696115
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1365452698566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452700279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452716552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1365452720561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452722314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452744087
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365452746265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365452746471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365452746692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365452746921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365452747422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452781069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452862429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452866894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452970094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452975771
