127.0.0.1 - - [05/Apr/2013:09:13:18 +0300] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [05/Apr/2013:09:13:23 +0300] "GET /CalendarDeneme/full_demo/weekcalendar_full_demo.jsp HTTP/1.1" 200 3505
127.0.0.1 - - [05/Apr/2013:09:13:23 +0300] "GET /CalendarDeneme/full_demo/reset.css HTTP/1.1" 200 1170
127.0.0.1 - - [05/Apr/2013:09:13:23 +0300] "GET /CalendarDeneme/jquery.weekcalendar.css HTTP/1.1" 200 2601
127.0.0.1 - - [05/Apr/2013:09:13:23 +0300] "GET /CalendarDeneme/libs/css/smoothness/jquery-ui-1.8rc3.custom.css HTTP/1.1" 200 30766
127.0.0.1 - - [05/Apr/2013:09:13:23 +0300] "GET /CalendarDeneme/libs/jquery-ui-1.8rc3.custom.min.js HTTP/1.1" 200 213511
127.0.0.1 - - [05/Apr/2013:09:13:23 +0300] "GET /CalendarDeneme/full_demo/demo.css HTTP/1.1" 200 984
127.0.0.1 - - [05/Apr/2013:09:13:23 +0300] "GET /CalendarDeneme/jquery.weekcalendar.js HTTP/1.1" 200 52874
127.0.0.1 - - [05/Apr/2013:09:13:23 +0300] "GET /CalendarDeneme/full_demo/demo.js HTTP/1.1" 200 9241
127.0.0.1 - - [05/Apr/2013:09:13:24 +0300] "GET /CalendarDeneme/full_demo/images/header-bg.png HTTP/1.1" 200 3785
127.0.0.1 - - [05/Apr/2013:09:13:30 +0300] "GET /CalendarDeneme/libs/css/smoothness/images/ui-bg_flat_0_aaaaaa_40x100.png HTTP/1.1" 200 180
127.0.0.1 - - [05/Apr/2013:09:13:30 +0300] "GET /CalendarDeneme/libs/css/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png HTTP/1.1" 200 110
127.0.0.1 - - [05/Apr/2013:09:13:30 +0300] "GET /CalendarDeneme/libs/css/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png HTTP/1.1" 200 101
127.0.0.1 - - [05/Apr/2013:09:13:30 +0300] "GET /CalendarDeneme/libs/css/smoothness/images/ui-bg_flat_75_ffffff_40x100.png HTTP/1.1" 200 178
